,Outlier,Max,Ctx,Max_Ctx
109,67550,11396,7020021
139,33289,11396,6002028
104,28768,11396,4023025
197,28768,11396,5029029
161,16325,11396,5015026
135,33289,11396,10029014
172,67550,11396,1018006
198,33289,11396,12024029
85,67982,11396,1023022
112,71717,11396,13005029
162,95901,8795,2025017
188,28750,11396,11017021
76,16325,11396,11025027
141,67550,11396,10007022
159,96934,11396,12007028
154,125276,11396,3002019
79,28768,11396,12021019
131,96934,11396,2020021
93,45776,8795,1018020
78,67982,11396,4007009
166,67969,11396,1010024
169,16121,8795,6028017
167,66370,8795,8002014
80,67982,11396,1007022
181,29414,11396,11005022
153,16121,8795,6016017
194,28750,11396,11022025
156,28750,11396,10027028
144,96934,11396,9012013
114,33289,11396,11024024
121,28768,11396,4015022
84,96934,11396,9021012
142,28750,11396,12011025
11,66449,9223,7009027
122,29414,11396,5011029
62,33289,11396,4024013
120,28750,11396,12009019
58,33286,9223,6021020
151,16121,8795,11006016
105,68039,9223,10010014
38,33289,11396,4018023
68,33289,11396,11002026
185,33286,9223,11019011
110,28768,11396,4010024
147,28861,11396,6026009
140,96934,11396,12021009
133,29414,11396,10001028
72,33435,11396,29023
61,66370,8795,7002024
189,68204,11396,1024018
90,28768,11396,22012
107,67550,11396,7023024
119,67550,11396,13003021
190,28768,11396,4023015
51,126332,11396,3027009
74,96934,11396,2029024
150,16325,11396,6007025
158,96934,11396,2021022
165,33289,11396,10015011
128,126332,11396,3023015
143,28768,11396,6027013
125,96934,11396,2023024
123,126766,11396,3003018
174,33435,11396,24011
106,95901,8795,9019004
116,16788,6039,20019
176,16121,8795,5017016
129,67550,11396,13020022
178,68039,9223,10010027
115,66370,8795,1013008
33,67982,11396,1023002
98,33289,11396,6002027
182,96934,11396,2014026
95,67550,11396,1028025
195,16121,8795,4019015
111,67550,11396,1012028
102,28768,11396,29012
77,99945,11396,9009019
199,33289,11396,10012024
183,28768,11396,6023021
53,29414,11396,12022009
173,67550,11396,1016025
99,67550,11396,1028024
191,45776,8795,7015005
152,71993,11396,8001013
86,66766,8795,1009023
44,16121,8795,6007007
4,67550,11396,10010009
91,67632,11396,7024012
200,29414,11396,6022002
87,126332,11396,3010019
47,33289,11396,11021011
148,66370,8795,13029027
171,46452,6422,1000000
54,28768,11396,5025021
193,16162,8795,12019029
82,16788,6039,20008
88,16121,8795,10015000
10,66370,8795,13002023
49,33286,9223,12029008
146,125276,11396,3018004
52,33289,11396,4025014
96,16121,8795,6019018
29,29414,11396,12001024
94,33289,11396,10029011
41,16121,8795,12015020
31,16121,8795,11015007
26,68204,11396,7007013
175,129124,11396,3001018
71,16325,11396,10025026
15,66449,9223,13028014
59,16325,11396,10005026
92,67550,11396,7010026
108,28768,11396,12025006
100,71669,11396,8026009
81,71669,11396,13005019
19,96934,11396,2029019
17,16121,8795,16005
67,28768,11396,4023015
56,28750,11396,4026024
83,67550,11396,8029025
34,33289,11396,6024014
43,68039,9223,13016003
12,16121,8795,7015
160,71717,11396,7001022
20,96934,11396,2025006
45,67550,11396,13021006
25,67550,11396,13021029
36,29414,11396,5015002
73,33289,11396,4025004
50,95901,8795,2025011
186,95901,8795,2019014
55,33289,11396,10025004
57,67550,11396,1029024
46,96934,11396,2010012
16,67550,11396,13027012
21,66370,8795,8013024
5,96934,11396,9028009
39,71669,11396,1026028
23,67550,11396,13025018
2,126332,11396,3025012
7,33289,11396,4013029
35,125276,11396,3006024
3,33286,9223,6029027
14,16162,8795,11018027
8,16121,8795,5008026
9,16121,8795,5000008
69,33289,11396,11013024
6,29414,11396,6025012
42,67982,11396,11012006
