[3, 21, 7, 519, 68039]
[3, 21, 8, 475]
[3, 21, 9, 478]
[3, 21, 10, 659, 68039]
[3, 21, 11, 615]
[3, 21, 12, 618]
[3, 21, 13, 736, 68039, 97214, 100440]
[3, 21, 14, 876, 68039]
[3, 22, 0, 140]
[3, 22, 1, 125]
[3, 22, 2, 115]
[3, 22, 3, 113]
[3, 22, 4, 265]
[3, 22, 5, 255]
[3, 22, 6, 253]
[3, 22, 7, 240]
[3, 22, 8, 238]
[3, 22, 9, 228]
[3, 22, 10, 380]
[3, 22, 11, 378]
[3, 22, 12, 368]
[3, 22, 13, 353]
[3, 22, 14, 493]
[3, 23, 0, 140]
[3, 23, 1, 258]
[3, 23, 2, 261]
[3, 23, 3, 217]
[3, 23, 4, 398]
[3, 23, 5, 401]
[3, 23, 6, 357]
[3, 23, 7, 519, 68039]
[3, 23, 8, 475]
[3, 23, 9, 478]
[3, 23, 10, 659, 68039]
[3, 23, 11, 615]
[3, 23, 12, 618]
[3, 23, 13, 736, 68039, 97214, 100440]
[3, 23, 14, 876, 68039]
[3, 24, 1, 133]
[3, 24, 2, 146]
[3, 24, 3, 104]
[3, 24, 4, 133]
[3, 24, 5, 146]
[3, 24, 6, 104]
[3, 24, 7, 279]
[3, 24, 8, 237]
[3, 24, 9, 250]
[3, 24, 10, 279]
[3, 24, 11, 237]
[3, 24, 12, 250]
[3, 24, 13, 383]
[3, 24, 14, 383]
[3, 25, 0, 140]
[3, 25, 1, 258]
[3, 25, 2, 261]
[3, 25, 3, 217]
[3, 25, 4, 398]
[3, 25, 5, 401]
[3, 25, 6, 357]
[3, 25, 7, 519, 68039]
[3, 25, 8, 475]
[3, 25, 9, 478]
[3, 25, 10, 659, 68039]
[3, 25, 11, 615]
[3, 25, 12, 618]
[3, 25, 13, 736, 68039, 97214, 100440]
[3, 25, 14, 876, 68039]
[3, 26, 0, 140]
[3, 26, 1, 125]
[3, 26, 2, 115]
[3, 26, 3, 113]
[3, 26, 4, 265]
[3, 26, 5, 255]
[3, 26, 6, 253]
[3, 26, 7, 240]
[3, 26, 8, 238]
[3, 26, 9, 228]
[3, 26, 10, 380]
[3, 26, 11, 378]
[3, 26, 12, 368]
[3, 26, 13, 353]
[3, 26, 14, 493]
[3, 27, 0, 140]
[3, 27, 1, 258]
[3, 27, 2, 261]
[3, 27, 3, 217]
[3, 27, 4, 398]
[3, 27, 5, 401]
[3, 27, 6, 357]
[3, 27, 7, 519, 68039]
[3, 27, 8, 475]
[3, 27, 9, 478]
[3, 27, 10, 659, 68039]
[3, 27, 11, 615]
[3, 27, 12, 618]
[3, 27, 13, 736, 68039, 97214, 100440]
[3, 27, 14, 876, 68039]
[3, 28, 1, 133]
[3, 28, 2, 146]
[3, 28, 3, 104]
[3, 28, 4, 133]
[3, 28, 5, 146]
[3, 28, 6, 104]
[3, 28, 7, 279]
[3, 28, 8, 237]
[3, 28, 9, 250]
[3, 28, 10, 279]
[3, 28, 11, 237]
[3, 28, 12, 250]
[3, 28, 13, 383]
[3, 28, 14, 383]
[3, 29, 0, 140]
[3, 29, 1, 258]
[3, 29, 2, 261]
[3, 29, 3, 217]
[3, 29, 4, 398]
[3, 29, 5, 401]
[3, 29, 6, 357]
[3, 29, 7, 519, 68039]
[3, 29, 8, 475]
[3, 29, 9, 478]
[3, 29, 10, 659, 68039]
[3, 29, 11, 615]
[3, 29, 12, 618]
[3, 29, 13, 736, 68039, 97214, 100440]
[3, 29, 14, 876, 68039]
[3, 30, 0, 140]
[3, 30, 1, 258]
[3, 30, 2, 261]
[3, 30, 3, 217]
[3, 30, 4, 398]
[3, 30, 5, 401]
[3, 30, 6, 357]
[3, 30, 7, 519, 68039]
[3, 30, 8, 475]
[3, 30, 9, 478]
[3, 30, 10, 659, 68039]
[3, 30, 11, 615]
[3, 30, 12, 618]
[3, 30, 13, 736, 68039, 97214, 100440]
[3, 30, 14, 876, 68039]
[1, 0, 0, 209]
[1, 0, 1, 198]
[1, 0, 2, 213]
[1, 0, 3, 195]
[1, 0, 4, 407]
[1, 0, 5, 422]
[1, 0, 6, 404, 16162]
[1, 0, 7, 411, 45814]
[1, 0, 8, 393]
[1, 0, 9, 408]
[1, 0, 10, 620]
[1, 0, 11, 602]
[1, 0, 12, 617]
[1, 0, 13, 606]
[1, 0, 14, 815, 16162]
[1, 4, 2, 127]
[1, 4, 3, 127]
[1, 4, 5, 127]
[1, 4, 6, 127]
[1, 4, 7, 127]
[1, 4, 8, 127]
[1, 4, 9, 254]
[1, 4, 10, 127]
[1, 4, 11, 127]
[1, 4, 12, 254]
[1, 4, 13, 254]
[1, 4, 14, 254]
[1, 5, 0, 209]
[1, 5, 1, 198]
[1, 5, 2, 213]
[1, 5, 3, 195]
[1, 5, 4, 407]
[1, 5, 5, 422]
[1, 5, 6, 404, 16162]
[1, 5, 7, 411, 45814]
[1, 5, 8, 393]
[1, 5, 9, 408]
[1, 5, 10, 620]
[1, 5, 11, 602]
[1, 5, 12, 617]
[1, 5, 13, 606]
[1, 5, 14, 815, 16162]
[1, 6, 0, 209]
[1, 6, 1, 198]
[1, 6, 2, 213]
[1, 6, 3, 195]
[1, 6, 4, 407]
[1, 6, 5, 422]
[1, 6, 6, 404, 16162]
[1, 6, 7, 411, 45814]
[1, 6, 8, 393]
[1, 6, 9, 408]
[1, 6, 10, 620]
[1, 6, 11, 602]
[1, 6, 12, 617]
[1, 6, 13, 606]
[1, 6, 14, 815, 16162]
[1, 7, 0, 209]
[1, 7, 1, 198]
[1, 7, 2, 213]
[1, 7, 3, 195]
[1, 7, 4, 407]
[1, 7, 5, 422]
[1, 7, 6, 404, 16162]
[1, 7, 7, 411, 45814]
[1, 7, 8, 393]
[1, 7, 9, 408]
[1, 7, 10, 620]
[1, 7, 11, 602]
[1, 7, 12, 617]
[1, 7, 13, 606]
[1, 7, 14, 815, 16162]
[1, 8, 0, 209]
[1, 8, 1, 198]
[1, 8, 2, 340]
[1, 8, 3, 322]
[1, 8, 4, 407]
[1, 8, 5, 549]
[1, 8, 6, 531]
[1, 8, 7, 538, 45814]
[1, 8, 8, 520, 45814]
[1, 8, 9, 662]
[1, 8, 10, 747]
[1, 8, 11, 729]
[1, 8, 12, 871, 17087]
[1, 8, 13, 860, 45814]
[1, 8, 14, 1069, 16162]
[1, 11, 2, 127]
[1, 11, 3, 127]
[1, 11, 5, 127]
[1, 11, 6, 127]
[1, 11, 7, 127]
[1, 11, 8, 127]
[1, 11, 9, 254]
[1, 11, 10, 127]
[1, 11, 11, 127]
[1, 11, 12, 254]
[1, 11, 13, 254]
[1, 11, 14, 254]
[1, 13, 2, 127]
[1, 13, 3, 127]
[1, 13, 5, 127]
[1, 13, 6, 127]
[1, 13, 7, 127]
[1, 13, 8, 127]
[1, 13, 9, 254]
[1, 13, 10, 127]
[1, 13, 11, 127]
[1, 13, 12, 254]
[1, 13, 13, 254]
[1, 13, 14, 254]
[1, 14, 2, 127]
[1, 14, 3, 127]
[1, 14, 5, 127]
[1, 14, 6, 127]
[1, 14, 7, 127]
[1, 14, 8, 127]
