,Outlier,Max,Ctx,Max_Ctx
369,259859,1764,[1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0.],0
461,254150,17718,[1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0.],0
247,263229,14274,[0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1.],0
438,262613,6334,[1. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],0
114,261016,14389,[1. 1. 0. 1. 1. 0. 1. 0. 0. 0. 1. 0.],0
407,254386,15024,[1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1.],0
37,259842,4208,[1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1.],0
59,261166,1674,[0. 1. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0.],0
377,254150,17718,[1. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0.],0
75,254150,17718,[0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1.],0
61,259728,6334,[1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 1.],0
389,254386,15024,[0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1.],0
55,260996,16786,[1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1.],0
10,262655,17718,[1. 1. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1.],0
30,263145,19826,[1. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1. 0.],0
471,254564,19898,[1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1.],0
100,257511,16205,[1. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1.],0
87,278326,3101,[0. 1. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0.],0
213,254386,15024,[0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0.],0
224,254150,17718,[0. 0. 0. 1. 1. 1. 1. 0. 0. 1. 1. 0.],0
455,257511,16205,[1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0.],0
450,254386,15024,[0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1.],0
116,254150,17718,[0. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1.],0
449,260996,16786,[1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1.],0
343,262655,17718,[1. 1. 1. 1. 1. 0. 0. 1. 1. 0. 1. 0.],0
298,260996,16786,[1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1.],0
112,254150,17718,[0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0.],0
460,254150,17718,[0. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1.],0
465,259847,4364,[0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0.],0
212,257450,27984,[0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0.],0
77,254150,17718,[1. 0. 1. 1. 1. 0. 0. 1. 0. 1. 0. 0.],0
151,254386,15024,[0. 1. 1. 0. 1. 1. 1. 1. 1. 0. 1. 0.],0
257,254386,15024,[0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0.],0
462,259847,4364,[0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0.],0
444,254150,17718,[0. 1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0.],0
340,254386,15024,[0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0.],0
91,259728,6334,[0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1.],0
4,259846,10114,[1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1.],0
68,254150,17718,[1. 1. 0. 1. 1. 0. 0. 0. 1. 1. 1. 1.],0
274,261121,16884,[1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0.],0
23,254150,17718,[0. 0. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0.],0
12,262613,6334,[0. 0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0.],0
473,259728,6334,[1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 1.],0
472,259842,4208,[0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 1. 0.],0
122,259846,10114,[0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1.],0
40,259842,4208,[1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 1.],0
172,260996,16786,[1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 1.],0
491,254150,17718,[1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0.],0
