,Outlier,Max,Ctx,Max_Ctx
2847,3,11842,[0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0.],0
4025,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0.],0
1478,0,9304,[1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1.],0
2889,2,3655,[0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1.],0
1451,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1.],0
3187,2,3655,[0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0.],0
2700,2,3655,[1. 1. 1. 1. 1. 1. 0. 0. 1. 0. 1. 0.],0
2788,8,23111,[0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0.],0
2652,0,9304,[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1.],0
3886,13,24441,[1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0.],0
4187,2,3655,[1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1.],0
2535,13,24441,[1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0.],0
2042,0,9304,[1. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0.],0
2129,2,3655,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0.],0
2759,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0.],0
3486,3,11842,[0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],0
4116,0,9304,[1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0.],0
3950,8,23111,[0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1.],0
4198,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1.],0
3609,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],0
4228,2,3655,[0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1.],0
3837,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1.],0
3162,0,9304,[1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1.],0
3693,0,9304,[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0.],0
4314,2,3655,[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 1. 1.],0
3662,2,3655,[1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0.],0
3718,2,3655,[1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 1. 1.],0
